depth,min_samples_split,accuracy,f1_score
1,2,0.8152173913043478,0.8152173913043478
1,3,0.8152173913043478,0.8152173913043478
1,4,0.8152173913043478,0.8152173913043478
1,5,0.8152173913043478,0.8152173913043478
1,6,0.8152173913043478,0.8152173913043478
1,7,0.8152173913043478,0.8152173913043478
1,8,0.8152173913043478,0.8152173913043478
1,9,0.8152173913043478,0.8152173913043478
1,10,0.8152173913043478,0.8152173913043478
2,2,0.8586956521739131,0.8566387448477595
2,3,0.8586956521739131,0.8566387448477595
2,4,0.8586956521739131,0.8566387448477595
2,5,0.8586956521739131,0.8566387448477595
2,6,0.8586956521739131,0.8566387448477595
2,7,0.8586956521739131,0.8566387448477595
2,8,0.8586956521739131,0.8566387448477595
2,9,0.8586956521739131,0.8566387448477595
2,10,0.8586956521739131,0.8566387448477595
3,2,0.8478260869565217,0.8481159420289855
3,3,0.8478260869565217,0.8481159420289855
3,4,0.8478260869565217,0.8481159420289855
3,5,0.8478260869565217,0.8481159420289855
3,6,0.8478260869565217,0.8481159420289855
3,7,0.8478260869565217,0.8481159420289855
3,8,0.8478260869565217,0.8481159420289855
3,9,0.8478260869565217,0.8481159420289855
3,10,0.8478260869565217,0.8481159420289855
4,2,0.8695652173913043,0.8691889632107023
4,3,0.8695652173913043,0.8691889632107023
4,4,0.8695652173913043,0.8691889632107023
4,5,0.8695652173913043,0.8691889632107023
4,6,0.8695652173913043,0.8691889632107023
4,7,0.8695652173913043,0.8691889632107023
4,8,0.8695652173913043,0.8691889632107023
4,9,0.8695652173913043,0.8691889632107023
4,10,0.8695652173913043,0.8691889632107023
5,2,0.8532608695652174,0.8531686498513423
5,3,0.8532608695652174,0.8531686498513423
5,4,0.8532608695652174,0.8531686498513423
5,5,0.8532608695652174,0.8531686498513423
5,6,0.8532608695652174,0.8531686498513423
5,7,0.8532608695652174,0.8531686498513423
5,8,0.8532608695652174,0.8531686498513423
5,9,0.8532608695652174,0.8531686498513423
5,10,0.8532608695652174,0.8531686498513423
6,2,0.8369565217391305,0.8367415537107392
6,3,0.8369565217391305,0.8367415537107392
6,4,0.8369565217391305,0.8367415537107392
6,5,0.8315217391304348,0.8316173082290024
6,6,0.8315217391304348,0.8316173082290024
6,7,0.8315217391304348,0.8316173082290024
6,8,0.8315217391304348,0.8316173082290024
6,9,0.8315217391304348,0.8316173082290024
6,10,0.8315217391304348,0.8316173082290024
7,2,0.8369565217391305,0.8367415537107392
7,3,0.8369565217391305,0.8367415537107392
7,4,0.8369565217391305,0.8367415537107392
7,5,0.8315217391304348,0.8316173082290024
7,6,0.8315217391304348,0.8316173082290024
7,7,0.8315217391304348,0.8316173082290024
7,8,0.8315217391304348,0.8316173082290024
7,9,0.8315217391304348,0.8316173082290024
7,10,0.8315217391304348,0.8316173082290024
8,2,0.8315217391304348,0.8311729228553425
8,3,0.8315217391304348,0.8311729228553425
8,4,0.8369565217391305,0.8367415537107392
8,5,0.8315217391304348,0.8316173082290024
8,6,0.8315217391304348,0.8316173082290024
8,7,0.8315217391304348,0.8316173082290024
8,8,0.8315217391304348,0.8316173082290024
8,9,0.8315217391304348,0.8316173082290024
8,10,0.8315217391304348,0.8316173082290024
9,2,0.8206521739130435,0.8205394609294187
9,3,0.8206521739130435,0.8205394609294187
9,4,0.8315217391304348,0.8316173082290024
9,5,0.8260869565217391,0.8264182194616976
9,6,0.8206521739130435,0.8209246659180017
9,7,0.8206521739130435,0.8209246659180017
9,8,0.8206521739130435,0.8209246659180017
9,9,0.8206521739130435,0.8209246659180017
9,10,0.8206521739130435,0.8209246659180017
10,2,0.8260869565217391,0.825857657291455
10,3,0.8260869565217391,0.825857657291455
10,4,0.8369565217391305,0.8369565217391305
10,5,0.8315217391304348,0.8317777164684258
10,6,0.8260869565217391,0.8262736697975717
10,7,0.8260869565217391,0.8262736697975717
10,8,0.8260869565217391,0.8262736697975717
10,9,0.8206521739130435,0.8209246659180017
10,10,0.8206521739130435,0.8209246659180017
